Parameter,ParamNameStarts,Format,Outrange
"Season","Season","character",0
"Agency","Agency","character",0
"Date","Date","%m/%d/%Y",0
"Time","Time","%H:%M:%S",0
"StnID","Station","character",0
"FieldRep","Field","numeric",0
"Z","Depth","numeric",0
"TdegC","Temperature","numeric",0
"Spsu","Salinity","numeric",0
"Sigma","Density","numeric",0
"pH","pH","numeric",1
"DO","Oxygen","numeric",1
"Transm","Transmissivity","numeric",1
"Transm","Light.Transm","numeric",1 
"CHL","Chl","numeric",0
"CDOM","CDOM","numeric",0

